Image,Rating,Name,Price
https://lh3.googleusercontent.com/p/AF1QipNVokxh_gBGU3JuunHmrF055Viyz-syViX-WnTT=s1360-w1360-h1020,4.8,Sri Greens Party Hall,₹12003
https://www.joonsquare.com/usermanage/image/business/sb-convention-hall-hassan-22427/sb-convention-hall-hassan-sb-convention-hall-1.jpg,4.6,Quba Event Hall,₹12004
https://lh3.googleusercontent.com/p/AF1QipOSUvfqI9CWxuj7P_JyxvcQv2P9sV0OciSgKq5I=s1360-w1360-h1020,4.5,Jnanakshi Convention Hall,₹12006
https://lh3.googleusercontent.com/p/AF1QipMc9bONdeWGi5Z1PTa7zZSFjty7xiClYi2y65vc=s1360-w1360-h1020,4.3,RG Palace Convention Hall,₹12012
https://cdn0.weddingwire.in/vendor/9537/3_2/960/jpg/3_15_149537.webp,4.3,Sri Adichunchanagiri Samudaya Bhavana,₹12014
https://lh3.googleusercontent.com/p/AF1QipOqddvW5TIsT7XsfZ1aLGtsNGD2VfJZSqeUwI1y=s1360-w1360-h1020,4.3,M K Convention Centre,₹12020
https://lh3.googleusercontent.com/p/AF1QipOz3xkN8_ikYOzx1oG_WE3-qXr66ye8Yaj69GdC=s1360-w1360-h1020,4.2,Taj Convention Centre,₹12021
https://lh3.googleusercontent.com/p/AF1QipOHafKvh3FjH8_C5BBL1CU7IkVfhhr7CM1C0ghK=s1360-w1360-h1020,4.2,Nisarga Convention Hall,₹12022
https://lh3.googleusercontent.com/p/AF1QipPMaEMD-tg3Exj8fTz0NAKngQaXejm2EQqS26df=s1360-w1360-h1020,4.1,SB CONVENTION HALL,₹12026
https://lh3.googleusercontent.com/p/AF1QipOFYzGpiV3VdXhO-zhAKqiGB2tz0HJ9znabY7mU=s1360-w1360-h1020,4.1,Saptapadi Soudhamini kalyana mantapa,₹12028
https://lh3.googleusercontent.com/p/AF1QipOCfd02JBH_XasY0qt9ypG2xTNUMz5cVzujZAEq=s1360-w1360-h1020,4.1,R V Marriage Hall,₹12030
https://lh3.googleusercontent.com/p/AF1QipPtYmg1L6N-WnNE8mIWR7Hxlcs3SNjqKlvPYIT1=s1360-w1360-h1020,4,KP Convention Hall,₹12031
https://lh3.googleusercontent.com/p/AF1QipOmH-myznL55pp5j2c29sVpDrcaHBRyQ7kbxcXJ=s1360-w1360-h1020,4,Akshaya Convention Hall,₹12032
https://lh3.googleusercontent.com/p/AF1QipO9Wo6zC84CP0_HYHP5a__EcPjbx6HdI9Abk1F7=s1360-w1360-h1020,4,Mahaveer Bhavan,₹12036
https://lh3.googleusercontent.com/p/AF1QipMKsrz_SMtMtgraxwkqr3DjAMcjufaBG_2Jq4BO=s1360-w1360-h1020,4,Shubhodaya Kalyana Mantapa,₹12037
https://lh3.googleusercontent.com/p/AF1QipMtYl3e3eunkeaLLQFrm0PvX8smrwo5cLPInmIc=s1360-w1360-h1020,3.9,KSHEERA CONVENTION HALL,₹12043
https://lh3.googleusercontent.com/p/AF1QipM6o6tJAkXHqoOpWIXnlTNWXiAwy2kKAZtYbthu=s1360-w1360-h1020,3.9,Tanvi Trisha Kalyana Mantapa,₹12047
https://lh3.googleusercontent.com/p/AF1QipN3PNQsp3XjIzeBxha0TVmHq6_xNQrgPqpwPfc=s1360-w1360-h1020,3.9,Thirumala Kalyana Mantapa,₹12050
https://lh3.googleusercontent.com/p/AF1QipOrjwclk1Bmf_PlC16B9P8nZSv2t-dFioepwW0L=s1360-w1360-h1020,3.8,NCN Kalyana Mantapa,₹12055
https://lh3.googleusercontent.com/p/AF1QipP-KZlBfBBuRJMv4MChePIvnAE-mxFjacz_skJz=s1360-w1360-h1020,3.6,MH Convention Hall,₹12062
https://lh3.googleusercontent.com/p/AF1QipPZhRrTmtti9wXObt5M0edYZYdAwWie2sgx-xoE=s1360-w1360-h1020,3.6,HBS Convention Hall,₹12063